地区,新增确诊,现有确诊,治愈,死亡
香港,61,965,7616,143
台湾,10,127,661,7
上海,4,102,1389,7
辽宁,8,48,287,2
四川,3,31,817,3
北京,7,29,941,9
广东,1,24,2008,8
福建,1,22,486,1
内蒙古,1,19,339,1
云南,0,14,213,2
陕西,0,13,489,3
浙江,0,11,1293,1
山东,0,10,844,7
黑龙江,1,10,939,13
河南,1,7,1270,22
山西,0,3,221,0
天津,1,3,300,3
江苏,0,2,682,0
广西,0,1,261,2
安徽,0,1,986,6
湖南,0,1,1016,4
西藏,0,0,1,0
重庆,0,0,584,6
青海,0,0,18,0
宁夏,0,0,75,0
海南,0,0,165,6
吉林,0,0,155,2
江西,0,0,934,1
澳门,0,0,46,0
湖北,0,0,63637,4512
河北,0,0,367,6
甘肃,0,0,180,2
新疆,0,0,977,3
